Experience,UG,Location,PG,Salary,Department,Role Category
6 - 11 years,Any Graduate,Bengaluru,,9-11 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,Bengaluru,,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 8 years,Any Graduate,"Vijayawada, Ahmedabad, Coimbatore",,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 years,B.Com in Any Specialization,Bengaluru,,1-2 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 years,B.Com in Any Specialization,Bengaluru,,1-2 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 2 years,Any Graduate,Bengaluru( Vijayanagar ),,1-2.75 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 5 years,Any Graduate,Bengaluru( Raja Rajeshwari Nagar ),,2.5-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 7 years,Any Graduate,Bengaluru( ITPL ),,3-8 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 5 years,B.Tech/B.E. in Mechanical,Bengaluru( Kumbalgodu ),MBA/PGDM in Any Specialization,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 3 years,Any Graduate,Bangalore/Bengaluru( Domlur ),Any Postgraduate,3-5.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,Bengaluru,,4-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,B.Tech/B.E. in Any Specialization,"Mancherial, Warangal, Hyderabad","MBA/PGDM in Any Specialization, MS/M.Sc(Science) in Any Specialization",2-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 7 years,Graduation Not Required,Bengaluru( MG Road ),,5-8 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,Bengaluru,,4-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 3 years,Any Graduate,Bengaluru,,2-4 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,Hyderabad,,4-5.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,Hyderabad,,1.5-4 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
7 - 12 years,Any Graduate,Hyderabad,,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 8 years,"Any Graduate, Diploma in Any Specialization",Bengaluru( HSR Layout ),,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 4 years,Any Graduate,Bengaluru,MBA/PGDM in Any Specialization,3-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 2 years,Any Graduate,Bangalore/Bengaluru,Any Postgraduate,3-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 8 years,"BCA in Computers, B.Tech/B.E. in Electronics/Telecommunication, Computers, Electrical","Bangalore/ Bengaluru, Delhi / NCR",,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,Bangalore/Bengaluru,Any Postgraduate,3-7 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,Bangalore/Bengaluru,Any Postgraduate,3-7 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 7 years,Any Graduate,Bengaluru( Raja Rajeshwari Nagar ),,3.75-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,Bangalore/Bengaluru,,3-7 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 5 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,"Kolkata, Gurugram, Raipur",MBA/PGDM in Hospitality Management,2.5-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 2 years,"B.Com in Any Specialization, Diploma in Any Specialization",Bengaluru,,4-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
8 - 13 years,B.Tech/B.E. in Civil,"Kolkata, Chennai, Delhi / NCR",,5-7 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 5 years,,Hyderabad,MBA/PGDM in Marketing,Not Disclosed,Sales & Business Development,BD / Pre Sales
7 - 10 years,Any Graduate,Hyderabad,"MBA/PGDM in Marketing, Any Postgraduate",Not Disclosed,Sales & Business Development,BD / Pre Sales
10 - 15 years,B.Tech/B.E. in Any Specialization,Bengaluru,"M.Tech in Any Specialization, MBA/PGDM in Any Specialization",Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 8 years,Any Graduate,Bengaluru,,Not Disclosed,Sales & Business Development,BD / Pre Sales
12 - 16 years,Any Graduate,Gurugram,MBA/PGDM in Any Specialization,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 6 years,B.Tech/B.E. in Mechanical,Bengaluru,,3.5-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 3 years,Any Graduate,"Chennai, Coimbatore",,1.5-2.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,Chennai,,1.25-4.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 1 years,,"Puducherry, Salem, Tiruvannamalai",,2-2.25 Lacs P.A.,,
0 - 1 years,,"Nagercoil, Tiruchirapalli, Vellore",,2-2.25 Lacs P.A.,,
0 - 1 years,,"Madurai, Kumbakonam, Kanchipuram",,2-2.25 Lacs P.A.,,
0 - 1 years,,"Namakkal, Chennai, Coimbatore",,2-2.25 Lacs P.A.,,
2 - 6 years,Any Graduate,Bengaluru( Mahadevpura ),,8-15 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 7 years,,Chennai,,Not Disclosed,,
1 - 5 years,Graduation Not Required,Guwahati,,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 3 years,B.Tech/B.E. in Any Specialization,"Rajahmundry, Vijayawada, Visakhapatnam","MS/M.Sc(Science) in Any Specialization, MBA/PGDM in Any Specialization",2-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,,"Panaji, Sangli, Aurangabad",,1-3.75 Lacs P.A.,,
2 - 7 years,Any Graduate,Nagpur,,4-5.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 5 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 7 years,Any Graduate,Bengaluru( Budigere Cross ),,6-12 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,B.Tech/B.E. in Any Specialization,"Ongole, Tirupati, Kurnool","MBA/PGDM in Any Specialization, MS/M.Sc(Science) in Any Specialization",2-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
4 - 7 years,B.Tech/B.E. in Mechanical,Chennai,,Not Disclosed,Sales & Business Development,BD / Pre Sales
7 - 12 years,Any Graduate,Noida( Noida-Greater Noida Expressway ),,10-20 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Bengaluru( Koramangala ),,Not Disclosed,Sales & Business Development,BD / Pre Sales
7 - 12 years,Any Graduate,Noida( Noida-Greater Noida Expressway ),,14-22.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 7 years,Any Graduate,Jaipur,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 6 years,Any Graduate,Jammu,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 6 years,Any Graduate,Laharpur,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 6 years,Any Graduate,Kochi,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 6 years,Any Graduate,Bokaro,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
5 - 7 years,Any Graduate,Ahmedabad,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
7 - 10 years,Any Graduate,Guwahati,MBA/PGDM in Marketing,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 5 years,Graduation Not Required,"Noida, Gurugram, Delhi / NCR( Patel Nagar 3 )",,2-3.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 6 years,Any Graduate,Thanjavur,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 8 years,,Akola,,Not Disclosed,,
10 - 12 years,Any Graduate,Bharuch,CA in CA,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 2 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Jalandhar,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Latur,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Durg,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Panipat,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
5 - 8 years,Any Graduate,Nagpur,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 6 years,Any Graduate,Hindaun,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 6 years,Any Graduate,Mangalagiri,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
5 - 8 years,"B.Sc in Chemistry, B.Tech/B.E. in Production/Industrial, Diploma in Mechanical, Any Graduate",Kolkata,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
8 - 10 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 1 years,,Gurugram( Sector 30 Gurgaon ),MBA/PGDM in Any Specialization,3-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 6 years,Any Graduate,"Indore, Jaipur",,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 7 years,"B.Tech/B.E. in Any Specialization, Any Graduate",Noida,,4.5-8.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
5 - 8 years,"Any Graduate, B.Tech/B.E. in Production/Industrial, Diploma in Mechanical, B.Sc in Chemistry",Ludhiana,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
5 - 8 years,"B.Sc in Chemistry, Diploma in Mechanical, B.Tech/B.E. in Production/Industrial, Any Graduate",Hosur,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 6 years,Any Graduate,Rohtak,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 6 years,Any Graduate,Narnaul,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 6 years,Any Graduate,Madurai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 6 years,Any Graduate,Tangmarg,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
10 - 14 years,Any Graduate,"Gumla, Chakradharpur","MBA/PGDM in Any Specialization, Any Postgraduate",Not Disclosed,Sales & Business Development,BD / Pre Sales
10 - 14 years,Any Graduate,Samana,"MBA/PGDM in Any Specialization, Any Postgraduate",Not Disclosed,Sales & Business Development,BD / Pre Sales
10 - 14 years,Any Graduate,Mohali,"MBA/PGDM in Any Specialization, Any Postgraduate",Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 8 years,Any Graduate,"Noida, Gurugram",,3.25-8.25 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 1 years,Any Graduate,Chennai( Kundrathur ),,1.56-1.8 Lacs P.A.,Sales & Business Development,BD / Pre Sales
10 - 15 years,Any Graduate,Kolkata,,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,Gurugram,,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 5 years,,Gurugram,Any Postgraduate,3-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
5 - 8 years,Any Graduate,Noida,Any Postgraduate,4-5.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 2 years,Any Graduate,Noida,Any Postgraduate,2.25-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 6 years,Any Graduate,Ahmedabad,,4.2-5.4 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 6 years,Any Graduate,Chandigarh,,4.2-5.4 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 7 years,Any Graduate,"Noida, Mumbai, New Delhi, Hyderabad, Pune, Ahmedabad, Bengaluru",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
5 - 7 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 8 years,,"Pune, Chennai, Mumbai (All Areas)",,15-25 Lacs P.A.,,
3 - 6 years,Any Graduate,"Pune, Bengaluru, Mumbai (All Areas)( Malad West )",Any Postgraduate,10-15 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,"Thane, Navi Mumbai, Pune",,2-4.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 6 years,Any Graduate,"Nagpur, Nashik, Pune, Solapur, Aurangabad, Mumbai (All Areas)",,2.75-4.25 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Mumbai, Pune, Ahmednagar",,2.75-3.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,"Pune, Mumbai (All Areas)( Andheri East )",,2.5-4 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 4 years,Any Graduate,"Pune, Mumbai (All Areas)",,5-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,"Pune, Mumbai (All Areas)",Any Postgraduate,2.75-5.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 6 years,"Any Graduate, B.Sc in Computers, Diploma in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Any Specialization","Pune( Hadapsar Indutrial Estate ), Mumbai (All Areas)","Any Postgraduate, MBA/PGDM in Any Specialization, PG Diploma in Any Specialization, M.Tech in Electronics/Telecommunication, Computers, Electrical, MCM in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Any Specialization, Post Graduation Not Required",Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,"Thane, Pune, Mumbai (All Areas)",Any Postgraduate,3.5-5.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 7 years,Any Graduate,"Thane, Bhiwandi, Nashik, Panvel, Pune, Sangli, Nanded, Mumbai (All Areas), Chembur-Mumbai",,1-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 7 years,Any Graduate,"Kolhapur, Dhule, Nashik, Ratnagiri, Pune, Jalna, Solapur, Ahmednagar, Mumbai (All Areas)",,1-5.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Panaji, Pune, Mumbai (All Areas)",,1-4.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Pune, Mumbai (All Areas)",,2-4 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Mumbai( Andheri ), Pune( Shivaji Nagar ), Ahmedabad",,2.5-4.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
4 - 9 years,,"Pune, Delhi / NCR, Mumbai (All Areas)",MBA/PGDM in Any Specialization,Not Disclosed,Sales & Business Development,BD / Pre Sales
5 - 8 years,B.Com in Commerce,"Mumbai, Pune",MBA/PGDM in Finance,5-15 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Pune, Aurangabad, Mumbai (All Areas)",Any Postgraduate,3-4.75 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 5 years,"Any Graduate, Diploma in Any Specialization","Hyderabad, Pune, Bengaluru",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,"Hyderabad, Pune, Bengaluru",,"50,000-3 Lacs P.A.",Sales & Business Development,BD / Pre Sales
5 - 8 years,B.Com in Commerce,"Mumbai, Pune",MBA/PGDM in Finance,5-15 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Pune, Aurangabad, Mumbai (All Areas)",Any Postgraduate,3-4.75 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 5 years,"Diploma in Any Specialization, Any Graduate","Hyderabad, Pune, Bengaluru",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,"Hyderabad, Pune, Bengaluru",,"50,000-3 Lacs P.A.",Sales & Business Development,BD / Pre Sales
0 - 3 years,Any Graduate,"Hyderabad, Pune, Bengaluru",,4-8 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 7 years,B.B.A/ B.M.S in Management,"Noida, Pune, Bengaluru",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,"New Delhi, Pune, Ahmedabad, Gurugram, Bengaluru",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 3 years,"B.B.A/ B.M.S in Any Specialization, Any Graduate","Indore, Pune, Jaipur",,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 1 years,Any Graduate,Pune( Baner ),,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,Pune,Any Postgraduate,3.5-6.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 1 years,Any Graduate,Hiring office located in Pune,,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 2 years,Any Graduate,Pune,,1.25-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
22 - 25 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 4 years,Any Graduate,Hiring office located in Pune,,3-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 2 years,Any Graduate,"Indore, Pune, Jaipur",,2-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 4 years,Any Graduate,"Pimpri-Chinchwad, Pune( Pimpri Chinchwad )",MBA/PGDM in Marketing,1.75-3.25 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 1 years,Any Graduate,"Kolhapur, Pune, Solapur",,2-4 Lacs P.A.,Sales & Business Development,BD / Pre Sales
4 - 9 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,Pune,,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,Pune,,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 7 years,"Diploma in Engineering, B.Tech/B.E. in Production/Industrial, Instrumentation, Mechanical",Pune( Bavdhan ),,3-7 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,Pune,,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 7 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
7 - 9 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
9 - 10 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 7 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 6 years,Any Graduate,Pune( Baner ),,3-5.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 5 years,Any Graduate,Pune,,1-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 4 years,B.Tech/B.E. in Any Specialization,Pune,MBA/PGDM in Any Specialization,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 4 years,,"Pune, Aurangabad","MBA/PGDM in Advertising/Mass Communication, Marketing, Operations",3-3.75 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 5 years,Any Graduate,Pune( Wakad ),,1.5-3.75 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,Pune( Bavdhan ),,3.75-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 6 years,Any Graduate,Pune,,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 5 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 9 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
5 - 6 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 6 years,"B.B.A/ B.M.S in Management, Any Graduate",Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 5 years,Any Graduate,Pune,"MBA/PGDM in Marketing, Any Postgraduate",Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 4 years,"Any Graduate, B.B.A/ B.M.S in Management",Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 4 years,"B.B.A/ B.M.S in Management, BCA in Computers",Pune,MBA/PGDM in Marketing,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Pune,MBA/PGDM in Marketing,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 5 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 2 years,Any Graduate,Pune( Aundh ),,2.4-3.6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
5 - 10 years,Any Graduate,Pune,,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 3 years,,Pune,MBA/PGDM in Any Specialization,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 4 years,Any Graduate,Pune,,3-4.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Pune,,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 5 years,Any Graduate,Pune( Kharadi ),,5-10 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 4 years,Any Graduate,Pune,Any Postgraduate,2.75-3.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,B.B.A/ B.M.S in Management,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 5 years,"B.Tech/B.E. in Mechanical, Diploma in Mechanical",Pune,,3-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
6 - 10 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Kolhapur, Indore, Nagpur, Pune, Aurangabad",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 6 years,Any Graduate,Pune,,5-6.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 6 years,"BCA in Computers, B.Tech/B.E. in Any Specialization, B.Sc in Computers",Pune( Magarpatta ),MBA/PGDM in Any Specialization,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 6 years,Any Graduate,Pune,,5-6.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 6 years,"BCA in Computers, B.Tech/B.E. in Any Specialization, B.Sc in Computers",Pune( Magarpatta ),MBA/PGDM in Any Specialization,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 2 years,B.Tech/B.E. in Any Specialization,Pune( Baner ),,2.64-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
6 - 11 years,"B.Tech/B.E. in Mechanical, Chemical","Pune, Ahmedabad",,14-24 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 months duration,Any Graduate,Pune( Baner ),,"5,000/month",Sales & Business Development,BD / Pre Sales
1 - 3 years,"B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization",Pune,"MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization",Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 5 years,B.Tech/B.E. in Any Specialization,Pune,MBA/PGDM in Marketing,10-15 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 3 years,,Hiring office located in Pune,Any Postgraduate,3-4 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 8 years,Any Graduate,"Mumbai, Chandigarh, Indore, Hyderabad, Coimbatore",,5-10 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Kolkata, New Delhi, Hyderabad, Chennai, Bengaluru, Mumbai (All Areas)",,2.75-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Mumbai, Hyderabad",,Not Disclosed,Sales & Business Development,BD / Pre Sales
5 - 9 years,Any Graduate,"Mumbai, Hyderabad",MBA/PGDM in Any Specialization,Not Disclosed,Sales & Business Development,BD / Pre Sales
5 - 10 years,"B.Sc in Chemistry, B.Pharma in Pharmacy","Mumbai, Hyderabad",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
5 - 10 years,Any Graduate,"Kolkata, Bengaluru, Mumbai (All Areas)",,5-8 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 5 years,Any Graduate,"Kolkata, Bengaluru, Mumbai (All Areas)",,2-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,,"Ahmedabad, Bengaluru, Mumbai (All Areas)","MBA/PGDM in Advertising/Mass Communication, Marketing",Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 5 years,"Diploma in Chemical, Any Graduate, B.Tech/B.E. in Chemical, B.Sc in Chemistry","Hyderabad, Bengaluru, Mumbai (All Areas)","MS/M.Sc(Science) in Chemical Engineering & Materials Science, Chemistry",Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 5 years,Graduation Not Required,"Mumbai( Andheri East ), Hyderabad( Gachibowli )",,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 2 years,,"Hyderabad, Bengaluru, Mumbai (All Areas)",,2.5-4.5 Lacs P.A.,,
0 - 1 years,Any Graduate,"Mumbai, Delhi / NCR, Bengaluru",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 3 years,Any Graduate,"Mumbai( Andheri East ), Hyderabad",,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 9 years,Any Graduate,"Kolkata, Hyderabad, Mumbai (All Areas)",,9-18 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 4 years,"Diploma in Any Specialization, B.Sc in Any Specialization, B.Pharma in Pharmacy","Jaipur, Bengaluru, Mumbai (All Areas)",,3-6.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 8 years,Any Graduate,"Hyderabad, Chennai, Mumbai (All Areas)",,Not Disclosed,Sales & Business Development,BD / Pre Sales
